MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
123456001,2023-01-15 08:00:00,30.519972,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:00,30.519945,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:01,30.519917,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:01,30.519889,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:02,30.519861,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:02,30.519834,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:03,30.519806,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:03,30.519778,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:04,30.519750,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:04,30.519723,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:05,30.519695,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:05,30.519667,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:06,30.519640,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:06,30.519612,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:07,30.519584,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:07,30.519556,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:08,30.519529,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:08,30.519501,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:09,30.519473,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:09,30.519445,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:10,30.519418,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:10,30.519390,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:11,30.519362,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:11,30.519335,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:12,30.519307,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:12,30.519279,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:13,30.519251,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:13,30.519224,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:14,30.519196,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:14,30.519168,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:15,30.519140,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:15,30.519113,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:16,30.519085,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:16,30.519057,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:17,30.519030,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:17,30.519002,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:18,30.518974,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:18,30.518946,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:19,30.518919,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:19,30.518891,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:20,30.518863,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
123456001,2023-01-15 08:00:20,30.518835,121.980000,12.0,180.0,180.0,vessel_1,IMO123456001,CALL001,70,0,50,10,5,70,A
